,EventId,Type,Severity,TimeZone,AirportCode,City,State,date
1330,W-8936,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-08-23
1332,W-8938,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-08-24
1333,W-8939,Precipitation,UNK,US/Central,KAEL,Albert Lea,MN,2020-08-28
1343,W-8949,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-09-06
1378,W-8984,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-09-18
1384,W-8990,Fog,Moderate,US/Central,KAEL,Albert Lea,MN,2020-09-25
1386,W-8992,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-09-26
1393,W-8999,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-09-29
1394,W-9000,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-09-30
1397,W-9003,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-10-01
1405,W-9011,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-10-03
1406,W-9012,Fog,Moderate,US/Central,KAEL,Albert Lea,MN,2020-10-11
1418,W-9024,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-10-16
1419,W-9025,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-10-17
1421,W-9027,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-10-19
1428,W-9034,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-10-21
1457,W-9063,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-11-12
1461,W-9067,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-11-15
1474,W-9080,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-12-06
1475,W-9081,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-12-07
1489,W-9095,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-12-14
1490,W-9096,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-12-17
1493,W-9099,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-12-19
1495,W-9101,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-12-20
1496,W-9102,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-12-22
1500,W-9106,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-12-24
1539,W-11811,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-01-11
1596,W-11868,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-02-06
1646,W-11918,Fog,Severe,US/Central,KBTR,Baton Rouge,LA,2020-02-19
1670,W-11942,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-03-02
1678,W-11950,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-03-10
1713,W-11985,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-04-04
1734,W-12006,Rain,Moderate,US/Central,KBTR,Baton Rouge,LA,2020-04-18
1756,W-12028,Precipitation,UNK,US/Central,KBTR,Baton Rouge,LA,2020-04-29
1814,W-12086,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-06-07
